"cve_sun","nom_ciudad","municipio_cvegeo"
"","","28014"
"","","28015"
"","","28016"
"","","28020"
"","","28021"
"44","Matamoros","28022"
"","","28023"
"","","28024"
"","","28025"
"","","29020"
"","","29021"
"34","Puebla-Tlaxcala","29022"
"34","Puebla-Tlaxcala","29023"
"46","Tlaxcala-Apizaco","29024"
"34","Puebla-Tlaxcala","29025"
"46","Tlaxcala-Apizaco","29026"
"34","Puebla-Tlaxcala","29028"
"34","Puebla-Tlaxcala","29029"
"","","29030"
"46","Tlaxcala-Apizaco","29031"
"34","Puebla-Tlaxcala","29032"
"46","Tlaxcala-Apizaco","29033"
"","","29034"
"46","Tlaxcala-Apizaco","29036"
"","","29037"
"46","Tlaxcala-Apizaco","29038"
"46","Tlaxcala-Apizaco","29039"
"","","29040"
"34","Puebla-Tlaxcala","29041"
"46","Tlaxcala-Apizaco","29043"
"34","Puebla-Tlaxcala","29044"
"","","29046"
"46","Tlaxcala-Apizaco","29050"
"","","29052"
"","","29055"
"","","30001"
"","","30019"
"","","30020"
"","","30021"
"50","Orizaba","30022"
"","","30023"
"","","30024"
"","","30025"
"48","Xalapa","30026"
"","","30027"
"47","Veracruz","30028"
"","","30029"
"","","30032"
"48","Xalapa","30065"
"","","30066"
"","","30067"
"53","Córdoba","30068"
"","","30069"
"","","30070"
"","","30071"
"","","30072"
"","","30073"
"50","Orizaba","30099"
"","","30100"
"50","Orizaba","30101"
"","","30102"
"","","30103"
"","","30104"
"47","Veracruz","30105"
"","","30106"
"","","30114"
"","","30117"
"50","Orizaba","30118"
"","","30121"
"","","30122"
"42","Tampico","30123"
"49","Poza Rica","30124"
"","","30125"
"","","30132"
"","","30137"
"","","30139"
"","","30186"
"","","30187"
"","","30188"
"","","30189"
"","","30191"
"","","30195"
"53","Córdoba","30196"
"","","30200"
"","","30201"
"","","30202"
"","","30203"
"","","30204"
"","","30205"
"","","30207"
"","","30208"
"","","30209"
"","","30210"
"","","30211"
"","","30212"
"","","31006"
"","","31008"
"","","31011"
"","","31017"
"","","31019"
"","","31021"
"","","31028"
"","","31029"
"","","31030"
"","","31032"
"","","31036"
"","","31040"
"55","Mérida","31041"
"","","31042"
"","","31047"
"","","31048"
"55","Mérida","31050"
"","","31052"
"","","31056"
"","","31057"
"","","31058"
"","","31059"
"","","31061"
"","","31065"
"","","31067"
"","","31071"
"","","31084"
"","","31085"
"","","32030"
"","","32031"
"56","Zacatecas-Guadalupe","32032"
"","","32033"
"","","32034"
"","","32035"
"","","32036"
"","","32037"
"","","32038"
"","","32039"
"","","32040"
"","","31079"
"","","31081"
"2","Tijuana","02005"
"","","03001"
"","","03002"
"","","03003"
"","","03008"
"","","03009"
"","","04001"
"","","04002"
"","","04003"
"","","04004"
"","","04005"
"","","31089"
"","","31091"
"","","31092"
"","","31093"
"","","31096"
"","","31098"
"","","31099"
"55","Mérida","31101"
"","","31102"
"","","31104"
"","","32001"
"","","32002"
"","","32003"
"","","32004"
"","","32042"
"","","32043"
"","","32044"
"","","32045"
"","","32046"
"","","32047"
"","","32048"
"","","32049"
"","","32050"
"","","32051"
"","","32052"
"","","32055"
"1","Aguascalientes","01001"
"","","01002"
"","","01003"
"","","04007"
"","","04008"
"","","04009"
"","","08028"
"","","08029"
"","","08030"
"","","05019"
"","","04006"
"","","01004"
"1","Aguascalientes","01005"
"3","Mexicali","02002"
"2","Tijuana","02003"
"2","Tijuana","02004"
"","","04010"
"","","05016"
"","","10014"
"","","10015"
"","","05001"
"","","11024"
"15","San Francisco del Rincón","11025"
"","","11026"
"","","11027"
"","","05003"
"","","05005"
"","","05029"
"5","Saltillo","05030"
"","","05031"
"","","05032"
"6","Monclova-Frontera","05006"
"","","12073"
"","","05007"
"","","20106"
"","","13025"
"","","13026"
"","","05008"
"","","13049"
"","","13050"
"18","Pachuca","13051"
"18","Pachuca","13052"
"","","13053"
"","","13054"
"6","Monclova-Frontera","05010"
"","","13055"
"19","Tulancingo","13056"
"","","13057"
"","","05011"
"","","13058"
"","","13059"
"","","13060"
"","","05013"
"","","13061"
"","","05015"
"","","07106"
"6","Monclova-Frontera","05018"
"","","14033"
"","","14034"
"","","05037"
"","","14043"
"21","Guadalajara","14044"
"","","14045"
"","","05021"
"","","14075"
"","","14076"
"","","14077"
"","","14078"
"","","14079"
"","","14080"
"","","14081"
"","","14082"
"7","Piedras Negras","05022"
"","","08018"
"12","Chihuahua","08019"
"","","08020"
"","","05024"
"","","07108"
"","","07109"
"","","07110"
"","","07111"
"","","07112"
"","","16010"
"","","05026"
"","","16044"
"","","16045"
"","","05028"
"4","La Laguna","10007"
"","","05033"
"","","10032"
"","","10033"
"","","05034"
"57","Celaya","11009"
"","","11010"
"","","05038"
"","","07004"
"","","07005"
"","","16064"
"","","16065"
"","","16066"
"","","16067"
"","","16068"
"27","La Piedad-Pénjamo","16069"
"","","07006"
"","","12049"
"","","12050"
"","","12051"
"","","12052"
"","","12053"
"","","12054"
"","","12055"
"","","12056"
"","","12057"
"","","07007"
"","","07010"
"","","07119"
"","","08001"
"","","07011"
"","","16070"
"","","07024"
"","","07025"
"","","07026"
"10","Tuxtla Gutiérrez","07027"
"","","07028"
"","","08021"
"","","08022"
"","","08023"
"","","08024"
"","","08025"
"","","08026"
"","","08027"
"","","07029"
"","","08031"
"","","08032"
"","","08033"
"","","08034"
"","","08035"
"","","08036"
"11","Juárez","08037"
"","","08038"
"","","08039"
"","","08040"
"","","08041"
"","","08042"
"","","08043"
"","","08044"
"","","08045"
"","","08046"
"","","08047"
"","","08048"
"","","08049"
"","","08050"
"","","08051"
"","","08052"
"","","12070"
"","","07033"
"","","07034"
"","","07035"
"","","10008"
"","","10009"
"","","10010"
"","","10011"
"4","La Laguna","10012"
"","","10013"
"","","07036"
"","","07042"
"","","07043"
"","","07044"
"","","07045"
"","","07046"
"","","07047"
"","","07048"
"","","07049"
"","","07050"
"","","07051"
"","","07052"
"","","10016"
"","","10017"
"","","10018"
"","","10019"
"","","10020"
"","","10021"
"","","10022"
"","","10023"
"","","10024"
"","","10025"
"","","10026"
"","","10027"
"","","10028"
"","","13018"
"","","13019"
"","","13020"
"","","13021"
"","","07053"
"18","Pachuca","13022"
"","","07054"
"","","11011"
"","","11012"
"","","11013"
"","","11014"
"","","11015"
"","","11016"
"","","11017"
"","","11018"
"","","11019"
"14","León","11020"
"16","Moroleón-Uriangato","11021"
"","","11022"
"27","La Piedad-Pénjamo","11023"
"","","07055"
"14","León","11037"
"","","11038"
"","","11039"
"","","11040"
"16","Moroleón-Uriangato","11041"
"","","11042"
"","","11043"
"57","Celaya","11044"
"","","11045"
"","","11046"
"17","Acapulco","12001"
"","","12002"
"","","12003"
"","","12004"
"","","16080"
"","","16081"
"","","16082"
"","","16083"
"","","16084"
"","","07056"
"","","14001"
"","","14002"
"","","14003"
"","","16085"
"","","07058"
"","","07059"
"","","12071"
"","","12072"
"","","07060"
"","","14023"
"","","14024"
"","","14025"
"","","14026"
"","","07063"
"","","07064"
"","","07065"
"","","07066"
"","","07067"
"","","07068"
"","","07069"
"","","13023"
"","","13024"
"","","07070"
"","","07071"
"","","07072"
"","","13027"
"","","13028"
"","","13029"
"","","13030"
"","","13031"
"","","13032"
"","","13033"
"","","13034"
"","","13035"
"","","13036"
"","","13037"
"","","13038"
"18","Pachuca","13039"
"","","13040"
"","","13041"
"","","13042"
"","","13043"
"","","13044"
"","","13045"
"","","13046"
"","","13047"
"18","Pachuca","13048"
"","","07073"
"","","07074"
"","","07075"
"","","07076"
"","","07077"
"","","07078"
"","","07079"
"","","07080"
"","","07081"
"","","07082"
"","","07083"
"","","07084"
"","","07085"
"","","07086"
"","","07087"
"","","07088"
"","","07089"
"","","07091"
"","","14112"
"","","14113"
"","","14114"
"","","14115"
"","","14116"
"","","07105"
"","","07113"
"","","07114"
"","","14027"
"","","14028"
"","","14029"
"","","14030"
"","","14031"
"","","14032"
"","","07115"
